product_name,product_price
"Манекен MyDouble Lady Valet""S"" 40-48 р","30.900 руб.																	 / шт


"
"подставка  для манекена ""Звезда "" Royal  Dress forms","6.000 руб.																	 / шт


"
"Голова  для манекена Monica Цвет: черный Объем 52см,","9.900 руб.																	 / шт


"
фиксатор вращения манекена,"3.490 руб.																	 / шт


"
Комплект рук  для манекена Monica  размер М 42-44,"9.900 руб.																	 / шт


"
"Манекен MyDouble leg form""М"" 48-58 р","23.900 руб.																	 / шт


"
"Манекен MyDouble leg form""S"" 40-48","23.900 руб.																	 / шт


"
Манекен MyDouble P 36-42 (XS),"22.900 руб.																	 / шт


"
"Манекен Аdiusoform Tailormade ""M"" 46-56","15.900 руб.																	 / шт


"
"Манекен MyDouble ""L"" 56-66","23.900 руб.																	 / шт


"
"подставка для манекена "" Милан""","11.880 руб.																	 / шт


"
"Манекен MyDouble ""S"" 42-52 р","22.900 руб.																	 / шт


"
"Манекен MyDouble Junior"" J"" 30-38","21.900 руб.																	 / шт


"
"Манекен Аdiusoform Celine Plus ""В/М""  48-58 р","21.900 руб.																	 / шт


"
"Манекен Аdiusoform Celine""S"" Standart 40-48 р","21.900 руб.																	 / шт


"
"Манекен MyDouble ""М"" 48-58","22.900 руб.																	 / шт


"
"Манекен Adjustoform Lady Valet""S"" White 40-48 р","34.900 руб.																	 / шт


"
"Манекен MyDouble Lady Valet""M"" 48-58 р","30.900 руб.																	 / шт


"
Манекен муж.Male Form 46-56р.,"24.900 руб.																	 / шт


"
"Манекен Аdiusoform Tailormade ""S"" размер 40-48","15.900 руб.																	 / шт


"
"Christina р.46 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Penelope р.М БЕЖЕВЫЙ манекен бельевой (комплектация -фиксатор плоский, стойка""Звезда"")","39.900 руб.																	 / шт


"
Monica р.42 ЧЁРНЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Monica р.48 ЧЁРНЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Monica р.46 ЧЁРНЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Monica р.44 БЕЖЕВЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Monica р.46 БЕЖЕВЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Christina р.44 ЧЁРНЫЙ манекен женский портновский (без стойки),"22.680 руб.																	 / шт


"
Monica р.44 ЧЁРНЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Monica р.48 БЕЖЕВЫЙ манекен женский портновский (в комплекте стойка Милан),"44.900 руб.																	 / шт


"
Christina р.40 ЧЁРНЫЙ манекен женский портновский (без стойки),"22.680 руб.																	 / шт


"
"Christina р.50 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Christina р.42 Черный  манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Christina р.40 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Christina р.44 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Christina р.48 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
Генри Royal Dress forms р.S (48) БЕЖЕВЫЙ манекен мужской комплект со стойкой ,"34.680 руб.																	 / шт


"
"Christina р.52 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
"Christina р.54 Черный манекен женский портновский, стойка ""Звезда"" в комплекте","28.680 руб.																	 / шт


"
